year,month,fk_item,total_sell,total_cost,monthly_margin
2024,1,09e607a5c10ae1e256216e9a3183c37e,93.267838,64,0.3138
2024,1,0a1d717fabb9d630b2c4bfd753999db0,126.194702,107.5787,0.1475
2024,1,0a37fc16063d9f71a003dff49627016e,19.837792,15.84,0.2015
2024,1,0a5ca849ce5b358a4fa4ce335b98e141,43.770416,11.52,0.7368
2024,1,0a7e7fa5ed9e08a79e7ad50840bd80d1,8.6275,4.74,0.4506
2024,1,0a90e43325f557a8635d2acd07525cf8,65.935136,25.5,0.6133
2024,1,0aeb630975a765cee031506d5e8173d5,22.089756,12.25,0.4454
2024,1,0af75812af1667bf6533a654e5fb6f08,6.643784,1.7,0.7441
2024,1,0b36a27d47863233a4c44c12a8802664,338.54924512,208.65,0.3837
2024,1,0b485893fb67cab3a34ed99cb2d1bf82,17.585828,11.0219,0.3733
2024,1,0b77e0a264bb306476f93df39648d9a3,26.388986,11.9,0.5491
2024,1,0b8e0827c4cbf4602f320b3bdc8e51a7,29.412441,16.4,0.4424
2024,1,0bc4d58da83c315fd183cf6b7a24c716,89.713132,51.52,0.4257
2024,1,0bc7b68e207024d2196e8c985f352988,21.713692,8.83,0.5933
2024,1,0bda462587e4c6b003a6180a4fcf3bf3,31.260462,19.08,0.3896
2024,1,0c0458854522fb21f13d211a22d9f5fa,24.019076,18.7,0.2215
2024,1,0c1079e3e9d3736893b33777be9a80c4,7.296162,5.56,0.238
2024,1,0c1ddf1082519e57bceff47ed3014692,12.509228,9.1972,0.2648
2024,1,0c4013febbf45b0cb61149ef6079bd3c,54.822748,17.44,0.6819
2024,1,0c48b76781ffa019a6da6951d932ec66,11.145956,6.8207,0.3881
2024,1,0c8ba0a78f9ddcce77ca54e655637170,13.288925,8,0.398
2024,1,0ce2149a642019e27705f593e0be3608,63.083924,41.5572,0.3412
2024,1,0ce33f3aadfba0b67c11c6fd9e0700da,54.996864,24.518,0.5542
2024,1,0cf6a3968c3733cbbd77ea1941235f5d,73.042671,49.43,0.3233
2024,1,0d1b7a1f03824033ca8534a59b1a747c,7.738588,7.12,0.0799
2024,1,0df71910527ae8789c68ee8a689873de,145.063952,110.16,0.2406
2024,1,0df95e98a2b0e03042ec3e497746f861,5.38812,4,0.2576
2024,1,0e0c271740650beb1fc34e96e4373351,18.421032,11.15,0.3947
2024,1,0e1779be575804bbcf876d27784b27fd,28.418871,16,0.437
2024,1,0e5bd42994208f5bdb5792056d5f5d7d,2.833692,2.24,0.2095
2024,1,0e8512bbe3a0f2049021d67ca255e2ad,52.48468,26.52,0.4947
2024,1,0e852f08553600f5e08097460632771b,7.04848,3.64,0.4836
2024,1,0e8fc5f744a7cf382e4139c2dc39433b,6.800625,3.32,0.5118
2024,1,0ea6bbf10f3f535114bb2d008b2ceb34,10.011014,5.5401,0.4466
2024,1,0eae8206d44b9acbd7a74c41a76bdee3,3.963505,3.55,0.1043
2024,1,0ed25b1eae060d7b7049a14f3fe86bba,8.663634,5.0196,0.4206
2024,1,0ef49b4935e5ed22929884ea9ff88160,5.34798,3.93,0.2651
2024,1,0efe465169b8556a5f66d4eed0be256a,33.28096,9.34,0.7194
2024,1,0f0c2d6736108ffbfdb467975204ca3d,35.693516,20.0876,0.4372
2024,1,0f0e0199a7503de7860b41a378511394,12.70629,7.6,0.4019
2024,1,0f27a11a463da4a2be61228d906d0693,100.690096,46.2762,0.5404
2024,1,0f285f5e3bd8dfbd93c9488921991fdb,1.08,0.9,0.1667
2024,1,0f2b95cc9c295eb3d705c9c6018e0b43,4.825418,2.36,0.5109
2024,1,0f39fec9177faf3c0ea60d15a0acff9d,11.173545,8.5502,0.2348
2024,1,0f58775fbae87878f3f3d7600a14890d,24.96,12.79,0.4876
2024,1,0f6bd24952e718c8973ba1e9e93435f7,17.749914,9.78,0.449
2024,1,0f7957ed7482c6b8ec654d3196d5aebf,16.62,13.22,0.2046
2024,1,0f89562a368bb1e822b7b3075fa7e18c,1235.173752,786.8704,0.3629
2024,1,0f9d4a50161037a9b5befdd373182383,31.593284,26.8065,0.1515
2024,1,0fbe56b1a5571828740dae6fd4592710,26.688652,16,0.4005
2024,1,0ff0b7377fec09621df94b244cc4b157,18.421032,12.23,0.3361
2024,1,10030de8e3a7b8d5736b95635cdcd9e5,10.215738,2.95,0.7112
2024,1,10032d623b66f3b5f2fcb0bc358922f7,27.481092,20.5484,0.2523
2024,1,100411f6c6272bda0c99ad460ae97123,8.78267,8.36,0.0481
2024,1,102924b17bb932cf14a5291152d64d2a,44.814172,26.6594,0.4051
2024,1,104c8ad28050bde7088e678fb0fe6f50,13.420825,6.59,0.509
2024,1,1067460b9ef8bfcf46c8a892f7054e29,15.773916,7.78,0.5068
2024,1,10788a8cd8a762a275c6ccc41150362a,989.831223,448.5946,0.5468
2024,1,10aa6f2daa1bb1e9d4db7538dfb2dfca,43.09145,20.56,0.5229
2024,1,10d850d225e2d682415c17939f3a5fa1,38.1843,21.42,0.439
2024,1,10e7036d2229d30a0de321608c65dac8,28.749617,22.46,0.2188
2024,1,10efba72a05adbf32f9ed28fc9242465,244.253426,199.2462,0.1843
