country_code,postal_code,place_name,latitude,longitude
CZ,165 00,Praha 6-Suchdol,50.1414,14.3837
CZ,165 00,Praha 6-Lysolaje,50.1258,14.3729
CZ,165 00,Lysolaje,50.1258,14.3729
CZ,165 00,Suchdol,50.1414,14.3837
CZ,169 00,Praha 5-Motol,50.0699,14.3283
CZ,169 00,Střešovice,50.0953,14.3827
CZ,169 00,Motol,50.0699,14.3283
CZ,169 00,Břevnov,50.0744,14.3831
CZ,169 00,Praha 6-Břevnov,50.0809,14.361
CZ,169 00,Praha 6-Střešovice,50.0953,14.3827
CZ,170 00,Bubeneč,50.1092,14.4066
CZ,170 00,Holešovice,50.1047,14.4495
CZ,170 00,Praha 7-Holešovice,50.1047,14.4495
CZ,170 00,Praha 7-Bubeneč,50.1062,14.4352
CZ,171 00,Troja,50.1166,14.4246
CZ,171 00,Praha 7-Libeň,50.1124,14.4496
CZ,171 00,Praha 7-Troja,50.1124,14.4496
CZ,171 00,Libeň,50.1082,14.4746
CZ,180 00,Praha 8-Libeň,50.1082,14.4746
CZ,180 00,Praha 8-Žižkov,50.1041,14.4559
CZ,180 00,Libeň,50.1082,14.4746
CZ,180 00,Troja,50.1166,14.4246
CZ,180 00,Praha 8-Troja,50.1041,14.4559
CZ,180 00,Žižkov,50.0833,14.45
CZ,181 00,Praha 8-Čimice,50.1376,14.4328
CZ,181 00,Troja,50.1166,14.4246
CZ,181 00,Praha 8-Bohnice,50.1333,14.4167
CZ,181 00,Bohnice,50.1333,14.4167
CZ,181 00,Čimice,50.1376,14.4328
CZ,181 00,Praha 8-Troja,50.1317,14.4247
CZ,182 00,Libeň,50.1082,14.4746
CZ,182 00,Ďáblice,50.1437,14.4838
CZ,182 00,Praha 8-Libeň,50.1082,14.4746
CZ,182 00,Březiněves,50.1663,14.4846
CZ,182 00,Praha 8-Březiněves,50.1663,14.4846
CZ,182 00,Střížkov,50.1267,14.4936
CZ,182 00,Kobylisy,50.1237,14.4521
CZ,182 00,Praha 8-Kobylisy,50.1237,14.4521
CZ,182 00,Praha 8-Ďáblice,50.1333,14.475
CZ,182 00,Praha 8-Střížkov,50.1333,14.475
CZ,184 00,Dolní Chabry,50.1463,14.4485
CZ,184 00,Praha 8-Dolní Chabry,50.1463,14.4485
CZ,186 00,Praha 8-Karlín,50.0927,14.4471
CZ,186 00,Nové Město,50.0783,14.4209
CZ,186 00,Praha 8-Nové Město,50.0879,14.4384
CZ,186 00,Karlín,50.0927,14.4471
CZ,190 00,Malešice,50.0847,14.5094
CZ,190 00,Praha 9-Vysočany,50.1094,14.5167
CZ,190 00,Praha 9-Prosek,50.1153,14.5069
CZ,190 00,Praha 9-Střížkov,50.1267,14.4936
CZ,190 00,Střížkov,50.1267,14.4936
CZ,190 00,Hrdlořezy,50.1,14.5167
CZ,190 00,Praha 9-Hrdlořezy,50.1,14.5167
CZ,190 00,Libeň,50.1082,14.4746
CZ,190 00,Vysočany,50.1094,14.5167
CZ,190 00,Praha 9-Libeň,50.1073,14.5055
CZ,190 00,Praha 10-Malešice,50.0847,14.5094
CZ,190 00,Prosek,50.1153,14.5069
CZ,190 11,Běchovice,50.081,14.6178
CZ,190 11,Praha 9-Běchovice,50.081,14.6178
CZ,190 12,Dolní Počernice,50.0876,14.572
CZ,190 12,Praha 9-Dolní Počernice,50.0876,14.572
CZ,190 14,Praha 9-Klánovice,50.0949,14.6689
CZ,190 14,Klánovice,50.0949,14.6689
CZ,190 15,Praha 9-Satalice,50.1248,14.5719
CZ,190 15,Satalice,50.1248,14.5719
CZ,190 16,Koloděje,50.0626,14.6427
CZ,190 16,Újezd nad Lesy,50.0765,14.6595
CZ,190 16,Praha 9-Újezd nad Lesy,50.0695,14.6511
CZ,190 16,Praha 9-Koloděje,50.0695,14.6511
CZ,190 17,Praha 9-Vinoř,50.1463,14.5825
CZ,190 17,Vinoř,50.1463,14.5825
CZ,193 00,Horní Počernice,50.1121,14.6104
CZ,193 00,Praha 9-Horní Počernice,50.1121,14.6104
CZ,196 00,Praha 9-Miškovice,50.1564,14.5301
CZ,196 00,Praha 9-Třeboradice,50.1564,14.5301
CZ,196 00,Miškovice,50.1559,14.542
CZ,196 00,Třeboradice,50.1621,14.5243
CZ,196 00,Praha 9-Čakovice,50.1564,14.5301
CZ,196 00,Čakovice,50.1513,14.5239
CZ,197 00,Praha 9-Kbely,49.5667,13.6333
CZ,197 00,Kbely,49.5667,13.6333
CZ,198 00,Hloubětín,50.1062,14.5372
CZ,198 00,Černý Most,50.1048,14.5797
CZ,198 00,Praha 9-Černý Most,50.1003,14.5557
CZ,198 00,Hostavice,50.0928,14.5582
CZ,198 00,Kyje,50.0973,14.5477
CZ,198 00,Praha 9-Hostavice,50.1003,14.5557
CZ,198 00,Praha 9-Kyje,50.1003,14.5557
CZ,198 00,Praha 9-Hloubětín,50.1003,14.5557
CZ,199 00,Letňany,50.1333,14.5167
